                   , 10                 , 100                , 1000               , 2000               , 5000                
0.09210340371976182, -1.1804557622239402, -2.1168304619092804, -3.110533710613075 , -3.4118030163359068, -3.8113874276266544 
0.18420680743952364, -1.0203801387667033, -1.9616250241709934, -2.9558837584149673, -3.2571834262820154, -3.6567837883260776 
0.27631021115928545, -0.9828922425968095, -1.929339563489828 , -2.924190174872172 , -3.2255229381018147, -3.625142612951083  
0.3684136148790473 , -0.994252736455198 , -1.9462372820169984, -2.941716890032405 , -3.2430849866984413, -3.642725700350331  
0.4605170185988091 , -1.0313921856758113, -1.9892363646996918, -2.9853806610982168, -3.2867861395164293, -3.686449234328402  
0.5526204223185709 , -1.0840747345946227, -2.0480842163298076, -3.044927136555009 , -3.346371918196375 , -3.7460585889148135 
0.6447238260383327 , -1.146879531303945 , -2.117340844972262 , -3.1149143623352775, -3.4164002500334893, -3.8161115967873176 
0.7368272297580944 , -1.2166084200317182, -2.193787346556156 , -3.1921213066583425, -3.493649981192612 , -3.8933870218972837 
0.8289306334778562 , -1.2912337193467829, -2.275374318020383 , -3.27449632401052  , -3.5760693396867853, -3.9758330125676173 
0.921034037197618  , -1.3694032419144582, -2.360727467545268 , -3.360662820598531 , -3.6622816026462712, -4.06207276677921   
